ім'я файлу;формат;розмір;ширина;висота
dery-triyatna.jpg;JPEG;(6000, 3376);6000;3376
elisabeth-arnold.jpg;JPEG;(6000, 4000);6000;4000
sherry-christian.jpg;JPEG;(6000, 4000);6000;4000
them-snapshots-EZ.jpg;JPEG;(3487, 4881);3487;4881
them-snapshots.jpg;JPEG;(3798, 5316);3798;5316
